id,icon,title,desc
int,string,string,string
1,,查杀,若预言家晚上验出一位玩家是狼，则这位玩家是预言家的查杀。
2,,挡刀,屠边规则下，平民阵营和神民阵营经常会互穿身份来迷惑狼人，晚上给狼人杀，为好人做出贡献。
3,,悍跳,狼人白天发言谎称自己是预言家，企图迷惑好人。
4,,对跳,即有两个或以上的人都号称自己是同一个身份，即对跳。\n\n例如A与B都说自己的身份是预言家，这就叫做A与B对跳预言家。
5,,金水,即可以坐定的好人身份。一般来说是无人对跳的特权身份或预言家验出的好人。\n\n当然还有其他情况，例如仅凭自己优秀的发言让全场都相信自己是好人的人。
6,,银水,女巫晚上救的人，称为银水。
7,,退水,即声明自己并非刚才所报的身份。例如A原本跳了预言家，之后却说自己不是预言家而是村民，这叫做“A退水村民”。
8,,聊爆,如果一个坏人不小心说出了明显是坏人才会说出的话，这就叫聊爆。
9,,抗推,指坏人想要将一名好人的身份做坏，从而推他出局的行为。
10,,捞,A玩家袒护B玩家，一般狼队友之间会互相掩护。
11,,归票,警长拥有归票的权利，号召玩家投出一位疑是狼的玩家。
12,,水包,A玩家丢给B玩家水保。意思是A觉得B玩家行为或发言不好。
13,,反水立警,A玩家发金水给B玩家，B玩家不认，说自己是预言家。\n\n此时B玩家身份高于A，称这个行为为反水立警。
14,,警上,参与竞选警长的玩家。
15,,警下,没有参与竞选警长的玩家。
16,,撕警徽,大家觉得警长并不是好人，号召大家一起把警长公投出局。投出局的行为则为撕警徽。
17,,警徽流,预言家手持警徽，白天发言的阶段指定要验某人身份:\n若是好人则给他警徽。\n若是狼人则把警徽给上一晚好人。若无确定好人，一般撕掉警徽。
18,,抿,通过表情和行为判断玩家是否是好人。
19,,分票,在某人遭到多人质疑时，踢出另一个人的疑点，试图投票分散。分票是狼人常用技巧。
20,,绑票,集体把票投给某人，试图靠人数优势将其投出局。
21,,生推,预言家被杀，场上的人比发言，无明确信息情况下的游戏状态。
22,,前置位,相对发言者来说，先于发言者发言，则是发言者的前置位。
23,,后置位,相对发言者来说，后于发言者发言，则是发言者的后置位。
24,,贴脸,情绪发言、发毒誓、骂人、等与游戏剧情无关的发言。以求博得他人信任。这种行为称贴脸。
